clean,perturbed
this is my talk page bitch,this is my talk page Biitttch
oh really huh wow who knew that was half of wow thank you for that great math lesson not oh and one more thing your the idiot,oh really huh wow who knew that was half of wow thank you for that great math lesson not oh and one more thing your the idio+
oh really huh wow who knew that was half of wow thank you for that great math lesson not oh and one more thing your the idiot,oh really huh wow who knew that was half of wow thank you for that great math lesson not oh and one more thing your the 1diot
you want war you got it,you want w*r you got it
you want war you got it,you want w4r you got it
screw you i do what i want,scr€w you i do what i want
screw you i do what i want,screω you i do what i want
do you have to be such a dick to him have some manners will you,do you have to be such a DIIIICK to him have some manners will you
do you have to be such a dick to him have some manners will you,do you have to be such a dicckkk to him have some manners will you
herb for life bitch,herb for life BIIIITCH
herb for life bitch,herb for life b1tch
also my mother is a prostitute,also my moth3r is a prostitute
also my mother is a prostitute,also my moth€r is a prostitute
no there is no rule against it but its beyond obvious you are doing it to troll waste time and piss people off,no there is no rule against it but its beyond obvious you are doing it to troll waste time and PiS people off
no there is no rule against it but its beyond obvious you are doing it to troll waste time and piss people off,no there is no rule against it but its beyond obvious you are doing it to troll waste time and piƽƽ people off
sex in space sweet thanks for the education,SEEEX in space sweet thanks for the education
sex in space sweet thanks for the education,SeEeEx in space sweet thanks for the education
answer gay people like me,answer GAYYYY people like me
answer gay people like me,answer gayyyy people like me
obvious shill circle jerk,obvious shill circle j3rk
obvious shill circle jerk,obvious shill circle j€rk
i dont care,i dont c4re
i dont care,i dont careee
you stupid chap,you stvpid chap
you stupid chap,you stpd chap
what is wrong with you are you a racist or something,what is wrong with you are you a racccist or something
what is wrong with you are you a racist or something,what is wrong with you are you a r4cist or something
i reckon you should die,i reckon you should dieee
i reckon you should die,i reckon you should diiiiie
do you really think so weve all known this since forever you idiot,do you really think so weve all known this since forever you iԁiot
do you really think so weve all known this since forever you idiot,do you really think so weve all known this since forever you idiotttt
what kind of name is sunshine you are an idiot,what kind of name is sunshine you are an idio+
what kind of name is sunshine you are an idiot,what kind of name is sunshine you are an IDIOOOOT
look up august then tell me what day it is stupid,look up august then tell me what day it is STPD
look up august then tell me what day it is stupid,look up august then tell me what day it is stupiԁ
you are such a nigger,you are such a Niger
you are such a nigger,you are such a ηigger
fag,faag
fag,fa6
same time and then made fun of my little dick,same time and then made fun of my little d¡ck
i am glen and i love being a fag,i am glen and i love being a fagggg
come on fag report me,come on fa6 report me
come on fag report me,come on f@g report me
this is like trying to say that the word niggardly is offensive get over yourself and stop trying to mistranslate to make some racist point,this is like trying to say that the word niggardly is offensive get over yourself and stop trying to mistranslate to make some raci$t point
this is like trying to say that the word niggardly is offensive get over yourself and stop trying to mistranslate to make some racist point,this is like trying to say that the word niggardly is offensive get over yourself and stop trying to mistranslate to make some r@cist point
that was really stupid were you trying to sound cool just now,that was really stuuupidd were you trying to sound cool just now
that was really stupid were you trying to sound cool just now,that was really stuuupid were you trying to sound cool just now
shut up me no do anything,shµt up me no do anything
shut up me no do anything,shuuutt up me no do anything
you dirty old bastard,you dirty old ba$tard
you dirty old bastard,you dirty old bastarԁ
i suggest you kill yourself,i suggest you ki11 yourself
i suggest you kill yourself,i suggest you k!ll yourself
it is worth feeding people like you just to shut your trap,it is worth feeding people like you just to shuuutt your trap
it is worth feeding people like you just to shut your trap,it is worth feeding people like you just to shu+ your trap
but what if you are a fascist,but what if you are a fasciƽt
but what if you are a fascist,but what if you are a fasc1st
hey you are the worst,hey you are the w0rst
hey you are the worst,hey you are the worsttt
are you an idiot who doesnt understand if it doesnt explain separately foolishness disappearing,are you an id1ot who doesnt understand if it doesnt explain separately foolishness disappearing
are you an idiot who doesnt understand if it doesnt explain separately foolishness disappearing,are you an ¡diot who doesnt understand if it doesnt explain separately foolishness disappearing
this site is stupid dont trust it,this site is stupiԁ dont trust it
you can suck a,you can suckkkk a
you can suck a,you can suuuck a
really when it is so difficult to get a new one wow you are a pencil dick,really when it is so difficult to get a new one wow you are a pencil d!ck
really when it is so difficult to get a new one wow you are a pencil dick,really when it is so difficult to get a new one wow you are a pencil diiiick
was that the jerk who also blocked me,was that the j3rk who also blocked me
no you were trying to sound cool but ended up sounding like a retard,no you were trying to sound cool but ended up sounding like a reeeetard
no you were trying to sound cool but ended up sounding like a retard,no you were trying to sound cool but ended up sounding like a re+ard
silly little boy my ass,silly little boy my AS
silly little boy my ass,silly little boy my assss
its joke what the hell test,its joke what the he11 test
its joke what the hell test,its joke what the HELLLLL test
not me doing the shocker bitch,not me doing the shocker BIIIITCH
not me doing the shocker bitch,not me doing the shocker bitttttch
nothing personal rod but you really are a stupid turd,nothing personal rod but you really are a stupidddddd turd
nothing personal rod but you really are a stupid turd,nothing personal rod but you really are a stupiԁ turd
are you gay or are you just trying real hard,are you Gayyyy or are you just trying real hard
are you gay or are you just trying real hard,are you g@y or are you just trying real hard
to be driven away and die,to be driven away and ԁie
to be driven away and die,to be driven away and d!e
i can call people whatever i like idiot this is my life i do what i want,i can call people whatever i like iԁiot this is my life i do what i want
i can call people whatever i like idiot this is my life i do what i want,i can call people whatever i like ¡diot this is my life i do what i want
you pig sucker see whats coming your way now,you pi6 sucker see whats coming your way now
last chance you dick,last chance you DICKKKK
if you have any actual evidence show it you claim something found on may i can find no links that back you up either come up with evidence or go away you trolling little tea retard,if you have any actual evidence show it you claim something found on may i can find no links that back you up either come up with evidence or go away you trolling little tea re+ard
if you have any actual evidence show it you claim something found on may i can find no links that back you up either come up with evidence or go away you trolling little tea retard,if you have any actual evidence show it you claim something found on may i can find no links that back you up either come up with evidence or go away you trolling little tea retarԁ
what a load of crap you write,what a load of CRAPPP you write
what a load of crap you write,what a load of crp you write
ask your mother,ask your mo+her
ask your mother,ask your m0ther
what are you deaf cant you hear,what are you DEF cant you hear
what are you deaf cant you hear,what are you de4f cant you hear
also i said unless you suck,also i said unless you suckkkk
also i said unless you suck,also i said unless you svck
will live forever if you dont respect the you will die you pathetic fool,will live forever if you dont respect the you will die you pathetic fooooooool
will live forever if you dont respect the you will die you pathetic fool,will live forever if you dont respect the you will die you pathetic fooooooooool
dont show me attitude i give u standing ovation of my middle finger,dont show me attitµde i give u standing ovation of my middle finger
dont show me attitude i give u standing ovation of my middle finger,dont show me attituuuude i give u standing ovation of my middle finger
you are an idiot and you cant block anyone,you are an idioooot and you cant block anyone
you are an idiot and you cant block anyone,you are an iԁiot and you cant block anyone
you are full of rubbish,you are full of rvbbish
you are full of rubbish,you are full of rubbi$h
come on man dont be a,come on mannnnn dont be a
come on man dont be a,come on maη dont be a
you really have a inflated sense of self keep living in your delusional world you are predictable and funny as hell,you really have a inflated sense of self keep living in your delusional world you are predictable and funny as helllll
you really have a inflated sense of self keep living in your delusional world you are predictable and funny as hell,you really have a inflated sense of self keep living in your delusional world you are predictable and funny as he11
you slut leave me alone,you sluttt leave me alone
you slut leave me alone,you s1ut leave me alone
plan that will kill millions of innocent people,plan that will ki11 millions of innocent people
plan that will kill millions of innocent people,plan that will k1ll millions of innocent people
show some gratitude bitch,show some gratitude Biitttch
show some gratitude bitch,show some gratitude BIIIITCH
i am also a trout slapping dick,i am also a trout slapping DIIIICK
i am also a trout slapping dick,i am also a trout slapping ԁick
bind torture kill thats my philosophy,bind torture ki11 thats my philosophy
bind torture kill thats my philosophy,bind torture KIL thats my philosophy
the world is better off without someone that is so defective natural selection is a bitch i guess our only hope is that you will follow her down a similar path,the world is better off without someone that is so defective natural selection is a BIIIITCH i guess our only hope is that you will follow her down a similar path
the world is better off without someone that is so defective natural selection is a bitch i guess our only hope is that you will follow her down a similar path,the world is better off without someone that is so defective natural selection is a Biitttch i guess our only hope is that you will follow her down a similar path
give me one reason to listen to a moron like you,give me one reason to listen to a morn like you
give me one reason to listen to a moron like you,give me one reason to listen to a m0ron like you
priceless i hate that guy,priceless i HATTE that guy
priceless i hate that guy,priceless i hattie that guy
too many people belive that crap,too many people belive that cr4p
too many people belive that crap,too many people belive that crp
read the source idiot,read the source IDIOOOOT
read the source idiot,read the source idi0t
on how crap you talk,on how cr@p you talk
the stupid one not me,the stupiԁ one not me
the stupid one not me,the Stuuupidd one not me
this page is about random crap talk just edit it already,this page is about random crp talk just edit it already
this page is about random crap talk just edit it already,this page is about random craaaaap talk just edit it already
oh i dont think they are going to get any less stupid any time soon,oh i dont think they are going to get any less stpd any time soon
oh i dont think they are going to get any less stupid any time soon,oh i dont think they are going to get any less stup!d any time soon
those who put it in my ass,those who put it in my aS
those who put it in my ass,those who put it in my ASSSSS
ignore this nut case,ignore this nut cas€
ignore this nut case,ignore this nut ca$e
anal leakage ban hammer,an@l leakage ban hammer
anal leakage ban hammer,Anl leakage ban hammer
all of you can suck it,all of you can s*ck it
all of you can suck it,all of you can svck it
ye that me fake scholar,ye that me ƒake scholar
ye that me fake scholar,ye that me fakeeee scholar
f you you idiot you are probably just jealous of me you cant add and i will make you sorry,f you you idioooot you are probably just jealous of me you cant add and i will make you sorry
f you you idiot you are probably just jealous of me you cant add and i will make you sorry,f you you IDIOOOOT you are probably just jealous of me you cant add and i will make you sorry
you must be a sock your request was your only edit,you must be a 5ock your request was your only edit
you must be a sock your request was your only edit,you must be a $ock your request was your only edit
then wrote this stupid comment,then wrote this STPD comment
then wrote this stupid comment,then wrote this s+upid comment
go down you peace of crap,go down you peace of cr@p
go down you peace of crap,go down you peace of CRAPPP
mate dont piss me off you are driving me insane go away,mate dont PIS me off you are driving me insane go away
mate dont piss me off you are driving me insane go away,mate dont PIs me off you are driving me insane go away
the hell i care,the h3ll i care
the hell i care,the he11 i care
shut up you button,shuuutt up you button
public interest crap,public interest ccccccrap
public interest crap,public interest cr@p
